time	V(borne2)	V(vout)
1.000622436393237e-03	1.074202e-05	1.024458e-05
1.000672862593423e-03	7.029009e-06	5.401230e-06
1.000715407286130e-03	6.022648e-06	2.687852e-06
1.000763005560810e-03	6.207971e-06	1.205251e-06
1.000813448585808e-03	6.605365e-06	6.031131e-07
1.000883317576430e-03	6.977573e-06	2.903529e-07
1.001000985535532e-03	7.681623e-06	-3.129906e-08
1.001157009350077e-03	9.067397e-06	-2.379410e-07
1.567375492281834e-03	5.644546e-03	4.386646e-05
2.133593975213590e-03	1.122627e-02	1.699320e-04
2.699812458145347e-03	1.675424e-02	3.779587e-04
3.266030941077103e-03	2.222846e-02	6.679466e-04
3.832249424008860e-03	2.764892e-02	1.039896e-03
4.398467906940615e-03	3.301563e-02	1.493806e-03
4.964686389872371e-03	3.832859e-02	2.029677e-03
8.926612281267707e-03	7.439712e-02	7.342659e-03
1.380942478126771e-02	1.162612e-01	1.745844e-02
1.869223728126771e-02	1.550602e-01	3.155202e-02
2.357504978126771e-02	1.906551e-01	4.950996e-02
2.845786228126771e-02	2.230729e-01	7.100079e-02
3.334067478126770e-02	2.523547e-01	9.569659e-02
3.822348728126770e-02	2.785543e-01	1.232744e-01
4.310629978126770e-02	3.017373e-01	1.534173e-01
4.798911228126770e-02	3.219798e-01	1.858159e-01
5.287192478126770e-02	3.393676e-01	2.201692e-01
5.775473728126770e-02	3.539954e-01	2.561856e-01
6.263754978126770e-02	3.659649e-01	2.935835e-01
6.752036228126770e-02	3.753851e-01	3.320925e-01
7.240317478126770e-02	3.823701e-01	3.714537e-01
7.728598728126770e-02	3.870391e-01	4.114202e-01
8.216879978126770e-02	3.895150e-01	4.517579e-01
8.705161228126770e-02	3.899237e-01	4.922454e-01
9.193442478126770e-02	3.883934e-01	5.326746e-01
9.681723728126770e-02	3.850538e-01	5.728509e-01
1.017000497812677e-01	3.800351e-01	6.125930e-01
1.065828622812677e-01	3.734678e-01	6.517333e-01
1.114656747812677e-01	3.654815e-01	6.901175e-01
1.163484872812677e-01	3.562048e-01	7.276051e-01
1.212312997812677e-01	3.457646e-01	7.640685e-01
1.261141122812677e-01	3.342852e-01	7.993932e-01
1.309969247812677e-01	3.218885e-01	8.334777e-01
1.358797372812677e-01	3.086930e-01	8.662329e-01
1.407625497812677e-01	2.948139e-01	8.975817e-01
1.456453622812677e-01	2.803622e-01	9.274588e-01
1.505281747812677e-01	2.654449e-01	9.558104e-01
1.554109872812677e-01	2.501646e-01	9.825934e-01
1.602937997812677e-01	2.346190e-01	1.007775e+00
1.651766122812677e-01	2.189012e-01	1.031333e+00
1.700594247812677e-01	2.030992e-01	1.053253e+00
1.798250497812677e-01	1.715684e-01	1.092173e+00
1.895906747812677e-01	1.406266e-01	1.124595e+00
1.993562997812677e-01	1.107894e-01	1.150697e+00
2.042391122812677e-01	9.642318e-02	1.161460e+00
2.091219247812677e-01	8.248853e-02	1.170753e+00
2.140047372812677e-01	6.902666e-02	1.178624e+00
2.188875497812677e-01	5.607384e-02	1.185122e+00
2.237703622812677e-01	4.366158e-02	1.190302e+00
2.286531747812677e-01	3.181674e-02	1.194223e+00
2.335359872812677e-01	2.056171e-02	1.196943e+00
2.384187997812677e-01	9.914561e-03	1.198526e+00
2.433016122812677e-01	-1.107334e-04	1.199035e+00
2.481844247812677e-01	-9.504146e-03	1.198536e+00
2.530672372812677e-01	-1.825938e-02	1.197093e+00
2.579500497812677e-01	-2.637366e-02	1.194775e+00
2.628328622812677e-01	-3.384753e-02	1.191646e+00
2.677156747812677e-01	-4.068466e-02	1.187775e+00
2.725984872812677e-01	-4.689160e-02	1.183225e+00
2.774812997812677e-01	-5.247756e-02	1.178064e+00
