time	V(borne2)	V(vout)
7.896956794271115e-01	-5.996176e-01	5.178366e-01
7.945784919271115e-01	-5.745859e-01	4.568430e-01
7.994613044271115e-01	-5.466431e-01	3.986012e-01
8.043441169271115e-01	-5.159308e-01	3.434061e-01
8.092269294271115e-01	-4.826048e-01	2.915376e-01
8.141097419271115e-01	-4.468338e-01	2.432582e-01
8.189925544271115e-01	-4.087989e-01	1.988126e-01
8.238753669271115e-01	-3.686930e-01	1.584260e-01
8.287581794271115e-01	-3.267192e-01	1.223031e-01
8.336409919271115e-01	-2.830902e-01	9.062668e-02
8.385238044271115e-01	-2.380269e-01	6.355739e-02
8.434066169271115e-01	-1.917578e-01	4.123232e-02
8.482894294271115e-01	-1.445171e-01	2.376457e-02
8.531722419271115e-01	-9.654425e-02	1.124266e-02
8.580550544271115e-01	-4.808229e-02	3.730000e-03
8.629378669271115e-01	6.232756e-04	1.264668e-03
8.678206794271115e-01	4.932569e-02	3.859148e-03
8.727034919271115e-01	9.777822e-02	1.150030e-02
8.775863044271115e-01	1.457354e-01	2.414940e-02
8.824691169271115e-01	1.929542e-01	4.174239e-02
8.873519294271115e-01	2.391956e-01	6.419011e-02
8.922347419271115e-01	2.842250e-01	9.137886e-02
8.971175544271115e-01	3.278146e-01	1.231709e-01
9.020003669271115e-01	3.697434e-01	1.594051e-01
9.068831794271115e-01	4.097990e-01	1.998980e-01
9.117659919271115e-01	4.477784e-01	2.444443e-01
9.166488044271115e-01	4.834893e-01	2.928185e-01
9.215316169271115e-01	5.167508e-01	3.447754e-01
9.264144294271115e-01	5.473943e-01	4.000518e-01
9.312972419271115e-01	5.752645e-01	4.583677e-01
9.361800544271115e-01	6.002203e-01	5.194276e-01
9.410628669271115e-01	6.221353e-01	5.829222e-01
9.459456794271115e-01	6.408985e-01	6.485297e-01
9.508284919271115e-01	6.564146e-01	7.159179e-01
9.557113044271115e-01	6.686053e-01	7.847453e-01
9.605941169271115e-01	6.774086e-01	8.546633e-01
9.654769294271115e-01	6.827800e-01	9.253174e-01
9.703597419271115e-01	6.846923e-01	9.963500e-01
9.752425544271115e-01	6.831358e-01	1.067401e+00
9.801253669271115e-01	6.781184e-01	1.138111e+00
9.850081794271115e-01	6.696655e-01	1.208120e+00
9.898909919271115e-01	6.578199e-01	1.277076e+00
9.947738044271115e-01	6.426417e-01	1.344628e+00
9.996566169271115e-01	6.242076e-01	1.410433e+00
1.004539429427111e+00	6.026112e-01	1.474160e+00
1.009422241927111e+00	5.779619e-01	1.535484e+00
1.014305054427111e+00	5.503844e-01	1.594095e+00
1.019187866927111e+00	5.200186e-01	1.649696e+00
1.024070679427111e+00	4.870183e-01	1.702006e+00
1.028953491927111e+00	4.515506e-01	1.750759e+00
1.033836304427111e+00	4.137952e-01	1.795709e+00
1.038719116927111e+00	3.739435e-01	1.836628e+00
1.043601929427111e+00	3.321973e-01	1.873308e+00
1.048484741927111e+00	2.887681e-01	1.905563e+00
1.053367554427111e+00	2.438760e-01	1.933231e+00
1.058250366927111e+00	1.977483e-01	1.956171e+00
1.063133179427111e+00	1.506188e-01	1.974266e+00
1.068015991927111e+00	1.027263e-01	1.987426e+00
1.072898804427111e+00	5.431327e-02	1.995583e+00
1.077781616927111e+00	5.625118e-03	1.998696e+00
1.082664429427111e+00	-4.309152e-02	1.996750e+00
1.087547241927111e+00	-9.158985e-02	1.989754e+00
1.092430054427111e+00	-1.396241e-01	1.977743e+00
1.097312866927111e+00	-1.869511e-01	1.960779e+00
1.102195679427111e+00	-2.333308e-01	1.938947e+00
1.107078491927111e+00	-2.785285e-01	1.912359e+00
1.111961304427111e+00	-3.223151e-01	1.881148e+00
1.116844116927111e+00	-3.644687e-01	1.845473e+00
1.121726929427111e+00	-4.047758e-01	1.805515e+00
1.126609741927111e+00	-4.430323e-01	1.761476e+00
1.131492554427111e+00	-4.790442e-01	1.713579e+00
1.136375366927111e+00	-5.126292e-01	1.662066e+00
1.141258179427111e+00	-5.436170e-01	1.607200e+00
1.146140991927111e+00	-5.718508e-01	1.549257e+00
1.151023804427111e+00	-5.971874e-01	1.488532e+00
1.155906616927111e+00	-6.194986e-01	1.425331e+00
1.160789429427111e+00	-6.386711e-01	1.359976e+00
1.165672241927111e+00	-6.546080e-01	1.292797e+00
1.170555054427111e+00	-6.672285e-01	1.224135e+00
1.175437866927111e+00	-6.764687e-01	1.154337e+00
1.180320679427111e+00	-6.822817e-01	1.083757e+00
1.185203491927111e+00	-6.846381e-01	1.012753e+00
1.190086304427111e+00	-6.835259e-01	9.416840e-01
1.194969116927111e+00	-6.789509e-01	8.709106e-01
1.199851929427111e+00	-6.709361e-01	8.007911e-01
1.204734741927111e+00	-6.595222e-01	7.316810e-01
1.209617554427111e+00	-6.447669e-01	6.639301e-01
1.214500366927111e+00	-6.267452e-01	5.978819e-01
1.219383179427111e+00	-6.055481e-01	5.338708e-01
1.224265991927111e+00	-5.812833e-01	4.722212e-01
1.229148804427111e+00	-5.540735e-01	4.132455e-01
1.234031616927111e+00	-5.240566e-01	3.572424e-01
1.238914429427111e+00	-4.913847e-01	3.044957e-01
1.243797241927111e+00	-4.562233e-01	2.552725e-01
1.248680054427111e+00	-4.187506e-01	2.098223e-01
1.253562866927111e+00	-3.791564e-01	1.683752e-01
1.258445679427111e+00	-3.376412e-01	1.311414e-01
1.263328491927111e+00	-2.944155e-01	9.830940e-02
1.268211304427111e+00	-2.496982e-01	7.004556e-02
1.273094116927111e+00	-2.037159e-01	4.649307e-02
1.277976929427111e+00	-1.567015e-01	2.777125e-02
1.282859741927111e+00	-1.088932e-01	1.397496e-02
1.287742554427111e+00	-6.053318e-02	5.174087e-03
1.292625366927111e+00	-1.186650e-02	1.413223e-03
1.297508179427111e+00	3.686031e-02	2.711419e-03
1.302390991927111e+00	8.540039e-02	9.062099e-03
1.307273804427111e+00	1.335078e-01	2.043309e-02
1.312156616927111e+00	1.809389e-01	3.676678e-02
1.317039429427111e+00	2.274532e-01	5.798043e-02
1.321922241927111e+00	2.728153e-01	8.396655e-02
1.326805054427111e+00	3.167952e-01	1.145935e-01
1.331687866927111e+00	3.591702e-01	1.497061e-01
1.336570679427111e+00	3.997256e-01	1.891265e-01
1.341453491927111e+00	4.382558e-01	2.326549e-01
1.346336304427111e+00	4.745657e-01	2.800709e-01
1.351219116927111e+00	5.084714e-01	3.311342e-01
1.356101929427111e+00	5.398011e-01	3.855861e-01
1.360984741927111e+00	5.683960e-01	4.431508e-01
1.365867554427111e+00	5.941113e-01	5.035366e-01
1.370750366927111e+00	6.168167e-01	5.664376e-01
