time	V(vin)	V(vout)
1.000310738219820e-03	1.000000e+00	3.192221e-04
1.000331890622719e-03	1.000000e+00	2.238490e-04
1.000348312684229e-03	1.000000e+00	1.620910e-04
1.000365482542257e-03	1.000000e+00	1.122778e-04
1.000384365829701e-03	1.000000e+00	7.283359e-05
1.000404336617080e-03	1.000000e+00	4.562172e-05
1.000424698648926e-03	1.000000e+00	2.986620e-05
1.000447425818606e-03	1.000000e+00	2.181133e-05
1.000474059284529e-03	1.000000e+00	1.892210e-05
1.000510526402676e-03	1.000000e+00	1.827797e-05
1.000551195076065e-03	1.000000e+00	1.696493e-05
1.000585399464865e-03	1.000000e+00	1.420852e-05
1.000622436393244e-03	1.000000e+00	1.024458e-05
1.000672862593436e-03	1.000000e+00	5.401230e-06
1.000715407286144e-03	1.000000e+00	2.687852e-06
1.000763005560828e-03	1.000000e+00	1.205251e-06
1.000813448585826e-03	1.000000e+00	6.031131e-07
1.000883317576457e-03	1.000000e+00	2.903529e-07
1.001000985535582e-03	1.000000e+00	-3.129906e-08
1.001157009350148e-03	1.000000e+00	-2.379410e-07
1.567375492014962e-03	1.000000e+00	4.386646e-05
2.133593974679775e-03	1.000000e+00	1.699320e-04
2.699812457344588e-03	1.000000e+00	3.779587e-04
3.266030940009401e-03	1.000000e+00	6.679466e-04
3.832249422674214e-03	1.000000e+00	1.039896e-03
4.398467905339027e-03	1.000000e+00	1.493806e-03
4.964686388003839e-03	1.000000e+00	2.029677e-03
8.926612277526339e-03	1.000000e+00	7.342659e-03
1.380942477752634e-02	1.000000e+00	1.745844e-02
1.869223727752634e-02	1.000000e+00	3.155202e-02
2.357504977752634e-02	1.000000e+00	4.950996e-02
2.845786227752634e-02	1.000000e+00	7.100079e-02
3.334067477752634e-02	1.000000e+00	9.569659e-02
3.822348727752634e-02	1.000000e+00	1.232744e-01
4.310629977752634e-02	1.000000e+00	1.534173e-01
4.798911227752634e-02	1.000000e+00	1.858159e-01
5.287192477752634e-02	1.000000e+00	2.201692e-01
5.775473727752634e-02	1.000000e+00	2.561856e-01
6.263754977752634e-02	1.000000e+00	2.935835e-01
6.752036227752634e-02	1.000000e+00	3.320925e-01
7.240317477752634e-02	1.000000e+00	3.714537e-01
7.728598727752634e-02	1.000000e+00	4.114202e-01
8.216879977752634e-02	1.000000e+00	4.517579e-01
8.705161227752634e-02	1.000000e+00	4.922454e-01
9.193442477752634e-02	1.000000e+00	5.326746e-01
9.681723727752634e-02	1.000000e+00	5.728509e-01
1.017000497775263e-01	1.000000e+00	6.125930e-01
1.065828622775263e-01	1.000000e+00	6.517333e-01
1.114656747775263e-01	1.000000e+00	6.901175e-01
1.163484872775263e-01	1.000000e+00	7.276051e-01
1.212312997775263e-01	1.000000e+00	7.640685e-01
1.261141122775263e-01	1.000000e+00	7.993932e-01
1.309969247775263e-01	1.000000e+00	8.334777e-01
1.358797372775263e-01	1.000000e+00	8.662329e-01
1.407625497775263e-01	1.000000e+00	8.975817e-01
1.456453622775263e-01	1.000000e+00	9.274588e-01
1.505281747775263e-01	1.000000e+00	9.558104e-01
1.554109872775263e-01	1.000000e+00	9.825934e-01
1.602937997775263e-01	1.000000e+00	1.007775e+00
1.651766122775263e-01	1.000000e+00	1.031333e+00
1.700594247775263e-01	1.000000e+00	1.053253e+00
1.798250497775263e-01	1.000000e+00	1.092173e+00
1.895906747775263e-01	1.000000e+00	1.124595e+00
1.993562997775263e-01	1.000000e+00	1.150697e+00
2.042391122775263e-01	1.000000e+00	1.161460e+00
2.091219247775263e-01	1.000000e+00	1.170753e+00
2.140047372775263e-01	1.000000e+00	1.178624e+00
2.188875497775263e-01	1.000000e+00	1.185122e+00
2.237703622775263e-01	1.000000e+00	1.190302e+00
2.286531747775263e-01	1.000000e+00	1.194223e+00
2.335359872775263e-01	1.000000e+00	1.196943e+00
2.384187997775263e-01	1.000000e+00	1.198526e+00
2.433016122775263e-01	1.000000e+00	1.199035e+00
2.481844247775263e-01	1.000000e+00	1.198536e+00
2.530672372775263e-01	1.000000e+00	1.197093e+00
2.579500497775263e-01	1.000000e+00	1.194775e+00
2.628328622775263e-01	1.000000e+00	1.191646e+00
2.677156747775263e-01	1.000000e+00	1.187775e+00
2.725984872775263e-01	1.000000e+00	1.183225e+00
2.774812997775263e-01	1.000000e+00	1.178064e+00
2.823641122775263e-01	1.000000e+00	1.172353e+00
2.872469247775263e-01	1.000000e+00	1.166156e+00
2.921297372775263e-01	1.000000e+00	1.159535e+00
2.970125497775263e-01	1.000000e+00	1.152547e+00
3.018953622775263e-01	1.000000e+00	1.145251e+00
3.067781747775263e-01	1.000000e+00	1.137702e+00
3.116609872775263e-01	1.000000e+00	1.129952e+00
3.165437997775263e-01	1.000000e+00	1.122053e+00
3.214266122775263e-01	1.000000e+00	1.114052e+00
3.263094247775263e-01	1.000000e+00	1.105995e+00
3.311922372775263e-01	1.000000e+00	1.097926e+00
3.360750497775263e-01	1.000000e+00	1.089885e+00
3.409578622775263e-01	1.000000e+00	1.081908e+00
3.458406747775263e-01	1.000000e+00	1.074032e+00
3.507234872775263e-01	1.000000e+00	1.066289e+00
3.556062997775263e-01	1.000000e+00	1.058708e+00
3.604891122775263e-01	1.000000e+00	1.051316e+00
3.653719247775263e-01	1.000000e+00	1.044139e+00
3.702547372775263e-01	1.000000e+00	1.037196e+00
3.751375497775263e-01	1.000000e+00	1.030508e+00
3.800203622775263e-01	1.000000e+00	1.024092e+00
3.849031747775263e-01	1.000000e+00	1.017961e+00
3.897859872775263e-01	1.000000e+00	1.012128e+00
3.946687997775263e-01	1.000000e+00	1.006603e+00
3.995516122775263e-01	1.000000e+00	1.001394e+00
4.044344247775263e-01	1.000000e+00	9.965058e-01
4.093172372775263e-01	1.000000e+00	9.919425e-01
4.190828622775263e-01	1.000000e+00	9.837968e-01
4.288484872775263e-01	1.000000e+00	9.769522e-01
4.386141122775263e-01	1.000000e+00	9.713800e-01
4.483797372775263e-01	1.000000e+00	9.670307e-01
4.532625497775263e-01	1.000000e+00	9.652944e-01
4.581453622775263e-01	1.000000e+00	9.638378e-01
4.630281747775263e-01	1.000000e+00	9.626503e-01
4.679109872775263e-01	1.000000e+00	9.617208e-01
4.727937997775263e-01	1.000000e+00	9.610376e-01
4.776766122775263e-01	1.000000e+00	9.605886e-01
4.825594247775263e-01	1.000000e+00	9.603612e-01
4.874422372775263e-01	1.000000e+00	9.603427e-01
4.923250497775263e-01	1.000000e+00	9.605199e-01
4.972078622775263e-01	1.000000e+00	9.608796e-01
5.020906747775263e-01	1.000000e+00	9.614085e-01
5.069734872775263e-01	1.000000e+00	9.620935e-01
5.118562997775263e-01	1.000000e+00	9.629213e-01
5.167391122775263e-01	1.000000e+00	9.638789e-01
5.216219247775263e-01	1.000000e+00	9.649535e-01
5.265047372775263e-01	1.000000e+00	9.661322e-01
5.313875497775263e-01	1.000000e+00	9.674029e-01
5.362703622775263e-01	1.000000e+00	9.687535e-01
5.411531747775263e-01	1.000000e+00	9.701723e-01
5.460359872775263e-01	1.000000e+00	9.716482e-01
5.509187997775263e-01	1.000000e+00	9.731702e-01
5.558016122775263e-01	1.000000e+00	9.747279e-01
5.606844247775263e-01	1.000000e+00	9.763116e-01
5.655672372775263e-01	1.000000e+00	9.779117e-01
5.704500497775263e-01	1.000000e+00	9.795194e-01
5.753328622775263e-01	1.000000e+00	9.811263e-01
5.802156747775263e-01	1.000000e+00	9.827245e-01
5.850984872775263e-01	1.000000e+00	9.843069e-01
5.899812997775263e-01	1.000000e+00	9.858667e-01
5.948641122775263e-01	1.000000e+00	9.873975e-01
5.997469247775263e-01	1.000000e+00	9.888937e-01
6.046297372775263e-01	1.000000e+00	9.903502e-01
6.095125497775263e-01	1.000000e+00	9.917623e-01
6.143953622775263e-01	1.000000e+00	9.931259e-01
6.192781747775263e-01	1.000000e+00	9.944372e-01
6.241609872775263e-01	1.000000e+00	9.956933e-01
6.290437997775263e-01	1.000000e+00	9.968914e-01
6.339266122775263e-01	1.000000e+00	9.980292e-01
6.388094247775263e-01	1.000000e+00	9.991051e-01
6.436922372775263e-01	1.000000e+00	1.000118e+00
6.534578622775263e-01	1.000000e+00	1.001949e+00
6.632234872775263e-01	1.000000e+00	1.003520e+00
6.729891122775263e-01	1.000000e+00	1.004832e+00
6.827547372775263e-01	1.000000e+00	1.005892e+00
6.925203622775263e-01	1.000000e+00	1.006711e+00
6.974031747775263e-01	1.000000e+00	1.007034e+00
7.022859872775263e-01	1.000000e+00	1.007303e+00
7.071687997775263e-01	1.000000e+00	1.007518e+00
7.120516122775263e-01	1.000000e+00	1.007684e+00
7.169344247775263e-01	1.000000e+00	1.007800e+00
7.218172372775263e-01	1.000000e+00	1.007872e+00
7.267000497775263e-01	1.000000e+00	1.007900e+00
