time	V(vout)
8.406678794869590e+01	1.787270e+00
8.409085284331294e+01	1.081051e+00
8.411091690386587e+01	5.636894e-01
8.412814972806838e+01	2.137095e-01
8.414490941210514e+01	-1.747051e-02
8.416163973599843e+01	-1.304821e-01
8.417763607294575e+01	-1.166339e-01
8.419648948492240e+01	5.173586e-02
8.421852421750627e+01	4.288683e-01
8.424578380416516e+01	1.092047e+00
8.427267494537250e+01	1.867601e+00
8.430412167616097e+01	2.780310e+00
8.433605995242134e+01	3.556277e+00
8.436309990668879e+01	3.994437e+00
8.438286754776517e+01	4.127065e+00
8.440123522888044e+01	4.081646e+00
8.441986730155534e+01	3.873481e+00
8.444422481325476e+01	3.401239e+00
8.447180068827392e+01	2.683323e+00
8.450544595781466e+01	1.690921e+00
8.453069355366281e+01	9.629623e-01
8.454975501779558e+01	4.879222e-01
8.456669590271301e+01	1.632981e-01
8.458340483910339e+01	-4.644700e-02
8.460008993062689e+01	-1.365193e-01
8.461651443772256e+01	-9.924713e-02
8.463526742280476e+01	9.591820e-02
8.465866519894034e+01	5.269617e-01
8.468462339796743e+01	1.182684e+00
8.471292292787402e+01	2.010311e+00
8.474363889674716e+01	2.887384e+00
8.477684854047770e+01	3.659358e+00
8.480192748368748e+01	4.030410e+00
8.482116918002099e+01	4.130514e+00
8.483956636736295e+01	4.061264e+00
8.485810344779759e+01	3.831563e+00
8.488352654624919e+01	3.311586e+00
8.491133496060063e+01	2.569331e+00
8.494140989997526e+01	1.673804e+00
8.496546317347459e+01	9.604605e-01
8.497119951437925e+01	8.039698e-01
8.498267219618857e+01	5.318737e-01
8.500000000100000e+01	1.682969e-01
8.500000000110001e+01	1.682969e-01
8.500000000130001e+01	1.682969e-01
8.500000000145282e+01	1.682969e-01
8.500000000160507e+01	1.682969e-01
8.500000000182887e+01	1.682969e-01
8.500000000200001e+01	1.682969e-01
8.500000000207955e+01	1.682969e-01
8.500000000218560e+01	1.682968e-01
8.500000000239753e+01	1.682968e-01
8.500000000282138e+01	1.682968e-01
8.500000000339888e+01	1.682968e-01
8.500000000416188e+01	1.682967e-01
8.500000000512644e+01	1.682966e-01
8.500000000641512e+01	1.682968e-01
8.500000000806145e+01	1.682986e-01
8.500000001004493e+01	1.683048e-01
8.500000001217089e+01	1.683192e-01
8.500000001440080e+01	1.683479e-01
8.500000001741344e+01	1.684129e-01
8.500000002056538e+01	1.685239e-01
8.500000002619267e+01	1.688261e-01
8.500000003263018e+01	1.693079e-01
8.500000004009944e+01	1.700153e-01
8.500000004741229e+01	1.707995e-01
8.500000005588964e+01	1.717265e-01
8.500000006483980e+01	1.726111e-01
8.500000007538418e+01	1.734255e-01
8.500000008562961e+01	1.739041e-01
8.500000009678674e+01	1.740308e-01
8.500000010850175e+01	1.737417e-01
8.500000012260617e+01	1.729338e-01
8.500000013766017e+01	1.717007e-01
8.500000015524230e+01	1.700324e-01
8.500000017465406e+01	1.682053e-01
8.500000019254561e+01	1.667549e-01
8.500000021238753e+01	1.655596e-01
8.500000023150916e+01	1.648771e-01
8.500000025446727e+01	1.646234e-01
8.500000028020824e+01	1.648540e-01
8.500000030306747e+01	1.653668e-01
8.500000032200637e+01	1.659159e-01
8.500000033968985e+01	1.664493e-01
8.500000035695544e+01	1.669368e-01
8.500000037356727e+01	1.673473e-01
8.500000038950762e+01	1.676753e-01
8.500000040351145e+01	1.679048e-01
8.500000041807637e+01	1.680859e-01
8.500000043327347e+01	1.682216e-01
8.500000044836992e+01	1.683097e-01
8.500000046470473e+01	1.683636e-01
8.500000048111093e+01	1.683858e-01
8.500000049829835e+01	1.683857e-01
8.500000051538598e+01	1.683716e-01
8.500000053304872e+01	1.683504e-01
8.500000055088687e+01	1.683282e-01
8.500000057488182e+01	1.683022e-01
8.500000059141348e+01	1.682887e-01
8.500000060640734e+01	1.682806e-01
8.500000062415215e+01	1.682752e-01
8.500000064070404e+01	1.682732e-01
8.500000066013924e+01	1.682736e-01
8.500000068000455e+01	1.682756e-01
8.500000070526301e+01	1.682789e-01
8.500000073660303e+01	1.682824e-01
8.500000076645875e+01	1.682844e-01
8.500000079674413e+01	1.682849e-01
8.500000083583461e+01	1.682841e-01
8.500000087322847e+01	1.682829e-01
8.500000092770506e+01	1.682812e-01
8.500000099761964e+01	1.682798e-01
8.500000116750118e+01	1.682771e-01
8.500092296923717e+01	1.523605e-01
8.500184477097316e+01	1.359737e-01
8.500276657270915e+01	1.191168e-01
8.500368837444515e+01	1.017899e-01
8.500461017618113e+01	8.399277e-02
8.500553197791713e+01	6.572557e-02
8.500645377965311e+01	4.698825e-02
8.501290614438393e+01	-9.597266e-02
8.502581087384557e+01	-4.314778e-01
8.504666210436390e+01	-1.065079e+00
8.507136707956369e+01	-1.893663e+00
8.510077762456383e+01	-2.866467e+00
8.513220788949438e+01	-3.736481e+00
8.516017060474712e+01	-4.256004e+00
8.518014884343981e+01	-4.411322e+00
8.519851667276511e+01	-4.360703e+00
8.521715688335793e+01	-4.124991e+00
8.524147532616325e+01	-3.590880e+00
8.526905993508760e+01	-2.776948e+00
8.530267023222044e+01	-1.651632e+00
8.532670700154770e+01	-8.597517e-01
8.534422671292954e+01	-3.544317e-01
8.536120155264190e+01	3.044284e-02
8.537821226030742e+01	2.923569e-01
8.539525547871636e+01	4.126276e-01
8.541358617183795e+01	3.774543e-01
8.543224599281575e+01	1.635566e-01
8.545599210396888e+01	-3.316000e-01
8.548225663134640e+01	-1.081883e+00
8.550751012072654e+01	-1.919848e+00
8.553782619237599e+01	-2.918358e+00
8.556879359151570e+01	-3.767827e+00
8.559576689790025e+01	-4.261417e+00
8.561555514560652e+01	-4.411835e+00
8.563392854703439e+01	-4.360262e+00
8.565256561586780e+01	-4.124036e+00
8.567692481915326e+01	-3.588359e+00
8.570450491819155e+01	-2.774057e+00
8.573815302912456e+01	-1.647343e+00
8.576218445088998e+01	-8.560249e-01
8.577969846512717e+01	-3.514488e-01
8.579666982661440e+01	3.260180e-02
8.581367636118158e+01	2.936036e-01
8.583071512174493e+01	4.129364e-01
8.584904805060945e+01	3.767854e-01
8.586770542488711e+01	1.619212e-01
8.589149185460936e+01	-3.351540e-01
8.591771624406107e+01	-1.085135e+00
8.594301776273733e+01	-1.927243e+00
8.596970524480089e+01	-2.816107e+00
8.600000000000000e+01	-3.746874e+00
8.600000000010000e+01	-3.746874e+00
8.600000000030001e+01	-3.746874e+00
8.600000000045289e+01	-3.746875e+00
8.600000000060523e+01	-3.746875e+00
8.600000000082898e+01	-3.746875e+00
8.600000000100000e+01	-3.746876e+00
8.600000000107956e+01	-3.746876e+00
8.600000000118563e+01	-3.746876e+00
8.600000000139767e+01	-3.746876e+00
8.600000000182175e+01	-3.746876e+00
8.600000000239935e+01	-3.746876e+00
8.600000000316257e+01	-3.746876e+00
8.600000000412729e+01	-3.746876e+00
8.600000000541633e+01	-3.746876e+00
8.600000000707530e+01	-3.746878e+00
8.600000000901134e+01	-3.746884e+00
8.600000001111947e+01	-3.746898e+00
8.600000001325350e+01	-3.746924e+00
8.600000001611343e+01	-3.746981e+00
8.600000001905778e+01	-3.747074e+00
8.600000002395217e+01	-3.747312e+00
